year,round,code,compound_1,compound_2,compound_3,compound_4,compound_5,compound_6,compound_7,compound_8,stint length_1,stint length_2,stint length_3,stint length_4,stint length_5,stint length_6,stint length_7,stint length_8
2018,1,ALO,ULTRASOFT,SOFT,N,N,N,N,N,N,25.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,BOT,ULTRASOFT,SUPERSOFT,N,N,N,N,N,N,24.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,ERI,SUPERSOFT,N,N,N,N,N,N,N,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,GAS,ULTRASOFT,N,N,N,N,N,N,N,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,GRO,ULTRASOFT,N,N,N,N,N,N,N,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,HAM,ULTRASOFT,SOFT,N,N,N,N,N,N,17.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,HAR,N,SOFT,ULTRASOFT,N,N,N,N,N,0.0,23.0,33.0,0.0,0.0,0.0,0.0,0.0
2018,1,HUL,ULTRASOFT,SOFT,N,N,N,N,N,N,23.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,LEC,SUPERSOFT,SOFT,ULTRASOFT,N,N,N,N,N,19.0,7.0,31.0,0.0,0.0,0.0,0.0,0.0
2018,1,MAG,ULTRASOFT,N,N,N,N,N,N,N,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,OCO,ULTRASOFT,SOFT,N,N,N,N,N,N,22.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,PER,ULTRASOFT,SOFT,N,N,N,N,N,N,23.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,RAI,ULTRASOFT,SOFT,N,N,N,N,N,N,17.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,RIC,SUPERSOFT,SOFT,N,N,N,N,N,N,25.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,SAI,ULTRASOFT,SOFT,N,N,N,N,N,N,21.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,SIR,SUPERSOFT,N,N,N,N,N,N,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,STR,SUPERSOFT,SOFT,ULTRASOFT,N,N,N,N,N,24.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0
2018,1,VAN,ULTRASOFT,SUPERSOFT,N,N,N,N,N,N,24.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,VER,SUPERSOFT,SOFT,N,N,N,N,N,N,20.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,VET,ULTRASOFT,SOFT,N,N,N,N,N,N,25.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,ALO,SOFT,MEDIUM,SUPERSOFT,N,N,N,N,N,13.0,25.0,17.0,0.0,0.0,0.0,0.0,0.0
2018,2,BOT,SUPERSOFT,MEDIUM,N,N,N,N,N,N,19.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,ERI,SOFT,MEDIUM,N,N,N,N,N,N,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,GAS,SUPERSOFT,SOFT,SUPERSOFT,N,N,N,N,N,14.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0
2018,2,GRO,SUPERSOFT,SOFT,SUPERSOFT,SUPERSOFT,N,N,N,N,17.0,12.0,15.0,11.0,0.0,0.0,0.0,0.0
2018,2,HAM,SOFT,MEDIUM,N,N,N,N,N,N,25.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,HAR,SUPERSOFT,SOFT,SUPERSOFT,N,N,N,N,N,19.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0
2018,2,HUL,SUPERSOFT,SOFT,SUPERSOFT,N,N,N,N,N,14.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0
2018,2,LEC,SOFT,MEDIUM,SUPERSOFT,N,N,N,N,N,2.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0
2018,2,MAG,SUPERSOFT,SUPERSOFT,SOFT,N,N,N,N,N,12.0,14.0,30.0,0.0,0.0,0.0,0.0,0.0
2018,2,OCO,SUPERSOFT,MEDIUM,SOFT,N,N,N,N,N,14.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0
2018,2,PER,SOFT,MEDIUM,SUPERSOFT,N,N,N,N,N,8.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0
2018,2,RAI,SUPERSOFT,SOFT,N,N,N,N,N,N,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,SAI,SUPERSOFT,SUPERSOFT,SOFT,N,N,N,N,N,15.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0
2018,2,SIR,SOFT,MEDIUM,SUPERSOFT,N,N,N,N,N,21.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0
2018,2,STR,SOFT,SUPERSOFT,MEDIUM,N,N,N,N,N,9.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0
2018,2,VAN,SUPERSOFT,SOFT,MEDIUM,N,N,N,N,N,9.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0
2018,2,VER,SOFT,SUPERSOFT,N,N,N,N,N,N,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
