Year,Round,Code,Stint,Compound,Stint Start Lap,Stint End Lap,Stint Length
2018,1,ALO,1.0,ULTRASOFT,2.0,26.0,25
2018,1,ALO,2.0,SOFT,27.0,58.0,32
2018,1,BOT,1.0,ULTRASOFT,2.0,25.0,24
2018,1,BOT,2.0,SUPERSOFT,26.0,58.0,33
2018,1,ERI,1.0,SUPERSOFT,2.0,6.0,5
2018,1,GAS,1.0,ULTRASOFT,2.0,14.0,13
2018,1,GRO,1.0,ULTRASOFT,2.0,24.0,23
2018,1,HAM,1.0,ULTRASOFT,3.0,19.0,17
2018,1,HAM,2.0,SOFT,20.0,58.0,39
2018,1,HAR,2.0,SOFT,2.0,24.0,23
2018,1,HAR,3.0,ULTRASOFT,25.0,57.0,33
2018,1,HUL,1.0,ULTRASOFT,2.0,24.0,23
2018,1,HUL,2.0,SOFT,25.0,58.0,34
2018,1,LEC,1.0,SUPERSOFT,2.0,20.0,19
2018,1,LEC,2.0,SOFT,21.0,27.0,7
2018,1,LEC,3.0,ULTRASOFT,28.0,58.0,31
2018,1,MAG,1.0,ULTRASOFT,2.0,22.0,21
2018,1,OCO,1.0,ULTRASOFT,2.0,23.0,22
2018,1,OCO,2.0,SOFT,24.0,58.0,35
2018,1,PER,1.0,ULTRASOFT,2.0,24.0,23
2018,1,PER,2.0,SOFT,25.0,58.0,34
2018,1,RAI,1.0,ULTRASOFT,2.0,18.0,17
2018,1,RAI,2.0,SOFT,19.0,58.0,40
2018,1,RIC,1.0,SUPERSOFT,2.0,26.0,25
2018,1,RIC,2.0,SOFT,27.0,58.0,32
2018,1,SAI,1.0,ULTRASOFT,2.0,22.0,21
2018,1,SAI,2.0,SOFT,23.0,58.0,36
2018,1,SIR,1.0,SUPERSOFT,2.0,5.0,4
2018,1,STR,1.0,SUPERSOFT,2.0,25.0,24
2018,1,STR,2.0,SOFT,26.0,29.0,4
2018,1,STR,3.0,ULTRASOFT,30.0,58.0,29
2018,1,VAN,1.0,ULTRASOFT,2.0,25.0,24
2018,1,VAN,2.0,SUPERSOFT,26.0,58.0,33
2018,1,VER,1.0,SUPERSOFT,2.0,21.0,20
2018,1,VER,2.0,SOFT,22.0,58.0,37
2018,1,VET,1.0,ULTRASOFT,2.0,26.0,25
2018,1,VET,2.0,SOFT,27.0,58.0,32
2018,2,ALO,1.0,SOFT,2.0,14.0,13
2018,2,ALO,2.0,MEDIUM,15.0,39.0,25
2018,2,ALO,3.0,SUPERSOFT,40.0,56.0,17
2018,2,BOT,1.0,SUPERSOFT,2.0,20.0,19
2018,2,BOT,2.0,MEDIUM,21.0,57.0,37
2018,2,ERI,1.0,SOFT,2.0,23.0,22
2018,2,ERI,2.0,MEDIUM,24.0,56.0,33
2018,2,GAS,1.0,SUPERSOFT,2.0,15.0,14
2018,2,GAS,2.0,SOFT,16.0,34.0,19
2018,2,GAS,3.0,SUPERSOFT,35.0,57.0,23
2018,2,GRO,1.0,SUPERSOFT,2.0,18.0,17
2018,2,GRO,2.0,SOFT,19.0,30.0,12
2018,2,GRO,3.0,SUPERSOFT,31.0,45.0,15
2018,2,GRO,4.0,SUPERSOFT,46.0,56.0,11
2018,2,HAM,1.0,SOFT,2.0,26.0,25
2018,2,HAM,2.0,MEDIUM,27.0,57.0,31
2018,2,HAR,1.0,SUPERSOFT,2.0,20.0,19
2018,2,HAR,2.0,SOFT,21.0,42.0,22
2018,2,HAR,3.0,SUPERSOFT,43.0,56.0,14
2018,2,HUL,1.0,SUPERSOFT,2.0,15.0,14
2018,2,HUL,2.0,SOFT,16.0,39.0,24
2018,2,HUL,3.0,SUPERSOFT,40.0,57.0,18
2018,2,LEC,1.0,SOFT,2.0,3.0,2
2018,2,LEC,2.0,MEDIUM,4.0,34.0,31
2018,2,LEC,3.0,SUPERSOFT,35.0,56.0,22
2018,2,MAG,1.0,SUPERSOFT,2.0,13.0,12
2018,2,MAG,2.0,SUPERSOFT,14.0,27.0,14
2018,2,MAG,3.0,SOFT,28.0,57.0,30
2018,2,OCO,1.0,SUPERSOFT,2.0,15.0,14
2018,2,OCO,2.0,MEDIUM,16.0,35.0,20
2018,2,OCO,3.0,SOFT,36.0,56.0,21
2018,2,PER,1.0,SOFT,2.0,9.0,8
2018,2,PER,2.0,MEDIUM,10.0,32.0,23
2018,2,PER,3.0,SUPERSOFT,33.0,56.0,24
2018,2,RAI,1.0,SUPERSOFT,2.0,19.0,18
2018,2,RAI,2.0,SOFT,20.0,34.0,15
2018,2,SAI,1.0,SUPERSOFT,2.0,16.0,15
2018,2,SAI,2.0,SUPERSOFT,17.0,26.0,10
2018,2,SAI,3.0,SOFT,27.0,56.0,30
2018,2,SIR,1.0,SOFT,2.0,22.0,21
2018,2,SIR,2.0,MEDIUM,23.0,40.0,18
2018,2,SIR,3.0,SUPERSOFT,41.0,56.0,16
2018,2,STR,1.0,SOFT,2.0,10.0,9
2018,2,STR,2.0,SUPERSOFT,11.0,29.0,19
2018,2,STR,3.0,MEDIUM,30.0,55.0,26
2018,2,VAN,1.0,SUPERSOFT,2.0,10.0,9
2018,2,VAN,2.0,SOFT,11.0,28.0,18
2018,2,VAN,3.0,MEDIUM,29.0,56.0,28
2018,2,VER,1.0,SOFT,2.0,2.0,1
2018,2,VER,2.0,SUPERSOFT,3.0,4.0,2
2018,2,VET,1.0,SUPERSOFT,3.0,18.0,16
2018,2,VET,2.0,SOFT,19.0,57.0,39
2018,3,ALO,1.0,SOFT,2.0,47.0,46
2018,3,ALO,2.0,MEDIUM,48.0,56.0,9
2018,3,BOT,1.0,SOFT,2.0,47.0,46
2018,3,BOT,2.0,MEDIUM,48.0,56.0,9
2018,3,ERI,1.0,SOFT,2.0,46.0,45
2018,3,ERI,2.0,MEDIUM,47.0,56.0,10
2018,3,GAS,1.0,MEDIUM,2.0,46.0,45
2018,3,GAS,2.0,SOFT,47.0,47.0,1
2018,3,GAS,3.0,ULTRASOFT,48.0,56.0,9
2018,3,GRO,1.0,ULTRASOFT,2.0,46.0,45
2018,3,GRO,3.0,MEDIUM,47.0,56.0,10
2018,3,HAM,1.0,SOFT,2.0,46.0,45
2018,3,HAM,2.0,MEDIUM,47.0,56.0,10
2018,3,HAR,1.0,ULTRASOFT,2.0,46.0,45
2018,3,HAR,3.0,SOFT,47.0,51.0,5
2018,3,HUL,1.0,ULTRASOFT,2.0,46.0,45
2018,3,HUL,2.0,MEDIUM,47.0,47.0,1
2018,3,HUL,3.0,SOFT,48.0,56.0,9
2018,3,LEC,1.0,SOFT,2.0,46.0,45
2018,3,LEC,2.0,MEDIUM,47.0,56.0,10
2018,3,MAG,1.0,SOFT,2.0,46.0,45
2018,3,MAG,2.0,MEDIUM,47.0,56.0,10
2018,3,OCO,1.0,SOFT,2.0,46.0,45
2018,3,OCO,2.0,SOFT,47.0,47.0,1
2018,3,OCO,3.0,ULTRASOFT,48.0,56.0,9
2018,3,PER,1.0,ULTRASOFT,2.0,46.0,45
2018,3,PER,2.0,SOFT,47.0,47.0,1
2018,3,PER,3.0,SOFT,48.0,56.0,9
2018,3,RAI,1.0,SOFT,2.0,47.0,46
2018,3,RAI,2.0,MEDIUM,48.0,56.0,9
2018,3,RIC,1.0,ULTRASOFT,2.0,47.0,46
2018,3,RIC,3.0,SOFT,48.0,56.0,9
2018,3,SAI,1.0,ULTRASOFT,2.0,46.0,45
2018,3,SAI,2.0,MEDIUM,47.0,47.0,1
2018,3,SAI,3.0,SOFT,48.0,56.0,9
2018,3,SIR,1.0,SOFT,2.0,46.0,45
2018,3,SIR,2.0,MEDIUM,47.0,47.0,1
2018,3,SIR,3.0,SOFT,48.0,56.0,9
2018,3,STR,1.0,SOFT,2.0,46.0,45
2018,3,STR,2.0,MEDIUM,47.0,56.0,10
2018,3,VAN,1.0,SOFT,2.0,46.0,45
2018,3,VAN,2.0,MEDIUM,47.0,56.0,10
2018,3,VER,1.0,ULTRASOFT,2.0,46.0,45
2018,3,VER,2.0,MEDIUM,47.0,47.0,1
2018,3,VER,3.0,SOFT,48.0,56.0,9
2018,3,VET,1.0,SOFT,3.0,46.0,44
2018,3,VET,2.0,MEDIUM,47.0,56.0,10
2018,4,ALO,2.0,SOFT,2.0,40.0,39
2018,4,ALO,3.0,ULTRASOFT,41.0,51.0,11
2018,4,BOT,1.0,SUPERSOFT,2.0,40.0,39
2018,4,BOT,2.0,ULTRASOFT,41.0,49.0,9
2018,4,ERI,2.0,SOFT,2.0,18.0,17
2018,4,ERI,3.0,ULTRASOFT,19.0,36.0,18
2018,4,ERI,4.0,ULTRASOFT,37.0,39.0,3
2018,4,ERI,5.0,ULTRASOFT,40.0,51.0,12
2018,4,GAS,1.0,ULTRASOFT,2.0,12.0,11
2018,4,GAS,2.0,SOFT,13.0,39.0,27
2018,4,GAS,3.0,ULTRASOFT,40.0,51.0,12
2018,4,GRO,1.0,SOFT,2.0,2.0,1
2018,4,GRO,2.0,SUPERSOFT,3.0,40.0,38
2018,4,GRO,3.0,ULTRASOFT,41.0,43.0,3
2018,4,HAM,1.0,SUPERSOFT,2.0,22.0,21
2018,4,HAM,2.0,SOFT,23.0,40.0,18
2018,4,HAM,3.0,ULTRASOFT,41.0,51.0,11
2018,4,HAR,2.0,ULTRASOFT,2.0,22.0,21
2018,4,HAR,3.0,SUPERSOFT,23.0,39.0,17
2018,4,HAR,4.0,ULTRASOFT,40.0,51.0,12
2018,4,HUL,1.0,ULTRASOFT,2.0,11.0,10
2018,4,LEC,1.0,SUPERSOFT,2.0,24.0,23
2018,4,LEC,2.0,SOFT,25.0,40.0,16
2018,4,LEC,3.0,ULTRASOFT,41.0,51.0,11
2018,4,MAG,2.0,SOFT,2.0,39.0,38
2018,4,MAG,3.0,ULTRASOFT,40.0,51.0,12
2018,4,OCO,1.0,ULTRASOFT,1.0,1.0,1
2018,4,PER,1.0,ULTRASOFT,2.0,2.0,1
2018,4,PER,2.0,SOFT,3.0,40.0,38
2018,4,PER,3.0,SUPERSOFT,41.0,51.0,11
2018,4,RAI,2.0,SOFT,2.0,2.0,1
2018,4,RAI,3.0,ULTRASOFT,3.0,51.0,49
2018,4,RIC,1.0,SUPERSOFT,2.0,37.0,36
2018,4,RIC,2.0,ULTRASOFT,38.0,40.0,3
2018,4,SAI,1.0,ULTRASOFT,2.0,15.0,14
2018,4,SAI,2.0,SOFT,16.0,40.0,25
2018,4,SAI,3.0,ULTRASOFT,41.0,51.0,11
2018,4,SIR,1.0,SUPERSOFT,1.0,1.0,1
2018,4,STR,1.0,SUPERSOFT,2.0,23.0,22
2018,4,STR,2.0,SOFT,24.0,40.0,17
2018,4,STR,3.0,ULTRASOFT,41.0,51.0,11
2018,4,VAN,1.0,SUPERSOFT,2.0,17.0,16
2018,4,VAN,2.0,SOFT,18.0,25.0,8
2018,4,VAN,3.0,ULTRASOFT,26.0,39.0,14
2018,4,VAN,4.0,ULTRASOFT,40.0,46.0,7
2018,4,VAN,5.0,ULTRASOFT,47.0,51.0,5
2018,4,VER,1.0,SUPERSOFT,2.0,38.0,37
2018,4,VER,2.0,ULTRASOFT,39.0,40.0,2
2018,4,VET,1.0,SUPERSOFT,3.0,30.0,28
2018,4,VET,2.0,SOFT,31.0,40.0,10
2018,4,VET,3.0,ULTRASOFT,41.0,51.0,11
2018,5,ALO,1.0,SUPERSOFT,2.0,21.0,20
2018,5,ALO,2.0,MEDIUM,22.0,65.0,44
2018,5,BOT,1.0,SOFT,2.0,19.0,18
2018,5,BOT,2.0,MEDIUM,20.0,66.0,47
2018,5,ERI,1.0,MEDIUM,2.0,35.0,34
2018,5,ERI,2.0,SOFT,36.0,64.0,29
2018,5,GAS,1.0,SOFT,1.0,1.0,1
2018,5,GRO,1.0,SOFT,1.0,1.0,1
2018,5,HAM,1.0,SOFT,3.0,25.0,23
2018,5,HAM,2.0,MEDIUM,26.0,66.0,41
2018,5,HAR,1.0,SOFT,2.0,4.0,3
2018,5,HAR,2.0,MEDIUM,5.0,33.0,29
2018,5,HAR,3.0,MEDIUM,34.0,64.0,31
2018,5,HUL,1.0,SOFT,1.0,1.0,1
2018,5,LEC,1.0,SOFT,2.0,20.0,19
2018,5,LEC,2.0,MEDIUM,21.0,64.0,44
2018,5,MAG,1.0,SOFT,2.0,32.0,31
2018,5,MAG,2.0,MEDIUM,33.0,65.0,33
2018,5,OCO,1.0,SOFT,2.0,29.0,28
2018,5,OCO,2.0,MEDIUM,30.0,39.0,10
2018,5,PER,1.0,SOFT,2.0,26.0,25
2018,5,PER,2.0,MEDIUM,27.0,40.0,14
2018,5,PER,3.0,SOFT,41.0,64.0,24
2018,5,RAI,1.0,SOFT,2.0,25.0,24
2018,5,RIC,1.0,SOFT,2.0,33.0,32
2018,5,RIC,2.0,MEDIUM,34.0,66.0,33
2018,5,SAI,1.0,SOFT,2.0,25.0,24
2018,5,SAI,2.0,MEDIUM,26.0,65.0,40
2018,5,SIR,1.0,SOFT,2.0,4.0,3
2018,5,SIR,2.0,MEDIUM,5.0,24.0,20
