airtemp,humidity,pressure,rainfall,tracktemp,winddirection,windspeed,round,year
24.1,36.2,997.1,False,38.2,294,3.0,1,2018
24.0,36.3,997.1,False,38.6,273,1.4,1,2018
24.0,36.3,997.1,False,38.6,273,1.4,1,2018
23.9,37.2,997.0,False,38.7,287,2.3,1,2018
24.2,35.8,997.1,False,38.7,309,3.5,1,2018
24.2,35.8,997.1,False,38.7,309,3.5,1,2018
24.2,36.5,997.1,False,38.8,306,2.0,1,2018
24.2,36.3,997.0,False,38.9,307,4.1,1,2018
24.2,36.3,996.9,False,38.2,296,3.8,1,2018
24.1,36.6,997.1,False,37.1,289,3.7,1,2018
23.9,36.5,997.1,False,36.7,289,4.3,1,2018
23.9,36.3,997.1,False,36.8,255,2.9,1,2018
23.8,35.7,997.1,False,36.6,210,2.7,1,2018
23.5,36.3,997.2,False,36.4,267,2.5,1,2018
23.4,36.5,997.2,False,36.3,283,2.1,1,2018
23.5,36.6,997.0,False,36.2,295,3.5,1,2018
23.5,36.7,997.1,False,36.4,301,3.4,1,2018
23.8,35.6,997.0,False,37.5,297,2.9,1,2018
23.9,35.4,997.0,False,37.6,334,4.1,1,2018
23.9,35.9,997.0,False,38.0,294,2.0,1,2018
24.1,35.1,997.1,False,38.0,283,4.0,1,2018
24.0,35.1,997.0,False,38.4,326,3.3,1,2018
23.9,35.3,997.0,False,37.9,297,2.4,1,2018
24.0,35.0,997.0,False,37.1,267,0.9,1,2018
23.9,35.6,997.0,False,36.6,0,1.6,1,2018
23.9,35.6,997.0,False,36.3,283,1.5,1,2018
23.9,35.6,997.0,False,36.2,354,1.2,1,2018
23.9,34.8,996.9,False,36.2,278,2.2,1,2018
23.7,35.6,997.1,False,37.2,270,2.0,1,2018
23.9,35.2,997.0,False,37.7,211,2.3,1,2018
24.1,35.3,997.0,False,38.1,315,1.1,1,2018
24.3,34.4,997.0,False,38.4,294,2.4,1,2018
24.4,33.8,997.0,False,38.4,275,3.4,1,2018
24.2,34.0,996.9,False,38.6,289,3.5,1,2018
24.0,34.4,996.9,False,38.6,294,2.9,1,2018
24.0,35.0,996.8,False,38.6,291,2.9,1,2018
24.1,34.5,996.8,False,38.5,349,3.8,1,2018
24.1,34.5,996.8,False,38.3,292,3.2,1,2018
24.1,34.5,996.8,False,38.3,292,3.2,1,2018
24.1,34.9,996.9,False,38.4,279,2.4,1,2018
24.2,34.4,996.9,False,38.0,282,3.8,1,2018
23.9,34.9,996.7,False,37.8,279,2.5,1,2018
23.7,34.4,996.8,False,37.1,318,2.2,1,2018
23.7,34.6,996.8,False,36.7,278,2.5,1,2018
23.7,33.4,996.9,False,36.6,290,3.7,1,2018
23.9,33.8,996.9,False,37.0,317,2.5,1,2018
24.1,30.9,996.8,False,37.8,298,2.9,1,2018
24.5,28.7,996.8,False,38.3,300,4.0,1,2018
24.5,28.1,996.8,False,38.4,320,3.7,1,2018
24.6,28.1,996.7,False,38.2,300,3.4,1,2018
24.7,27.0,996.9,False,38.5,300,4.3,1,2018
24.8,26.5,996.8,False,38.4,295,5.2,1,2018
24.8,25.9,996.8,False,38.3,286,4.9,1,2018
24.6,26.0,996.7,False,38.3,289,5.7,1,2018
24.4,25.6,996.7,False,38.0,303,6.2,1,2018
24.2,26.0,996.8,False,37.6,312,5.3,1,2018
24.2,26.2,996.8,False,37.3,301,3.9,1,2018
24.2,26.4,996.9,False,37.3,300,4.9,1,2018
24.3,26.8,996.9,False,37.3,297,2.9,1,2018
24.3,27.4,996.8,False,37.4,313,4.0,1,2018
24.4,27.8,996.9,False,37.4,318,3.6,1,2018
24.5,27.2,997.0,False,37.5,290,4.3,1,2018
24.5,25.6,996.9,False,37.5,278,5.2,1,2018
24.5,26.4,997.0,False,37.5,294,3.5,1,2018
24.5,26.4,996.9,False,37.1,282,4.7,1,2018
24.4,25.7,997.0,False,37.0,290,4.5,1,2018
24.2,25.7,997.0,False,36.8,333,6.0,1,2018
24.0,25.9,997.0,False,36.7,292,5.4,1,2018
24.1,26.1,997.0,False,36.6,309,2.8,1,2018
24.2,26.1,997.0,False,36.7,312,6.6,1,2018
24.0,25.6,997.1,False,36.7,273,3.8,1,2018
24.0,26.5,997.1,False,36.5,292,3.8,1,2018
24.0,25.8,997.0,False,36.7,290,4.2,1,2018
24.0,26.0,997.1,False,36.7,308,4.1,1,2018
24.1,25.7,997.0,False,36.5,306,5.1,1,2018
24.0,25.7,997.0,False,36.3,254,3.7,1,2018
24.0,26.0,997.0,False,36.5,306,4.2,1,2018
24.0,25.6,997.1,False,36.5,294,5.3,1,2018
23.9,26.0,997.0,False,36.2,328,5.7,1,2018
23.9,26.3,997.2,False,35.7,327,3.0,1,2018
23.8,26.6,997.0,False,35.7,306,4.5,1,2018
23.8,26.6,997.0,False,35.7,306,4.5,1,2018
23.5,27.1,997.1,False,34.5,330,4.2,1,2018
23.4,27.5,997.0,False,34.3,284,5.0,1,2018
23.3,27.9,997.1,False,34.0,295,3.2,1,2018
23.3,28.1,997.1,False,34.0,295,3.1,1,2018
24.2,28.3,997.1,False,33.9,302,3.8,1,2018
24.2,28.3,997.0,False,33.6,326,4.2,1,2018
24.1,28.7,997.1,False,33.6,311,3.4,1,2018
24.1,28.7,997.0,False,33.4,325,4.5,1,2018
24.2,28.5,997.0,False,33.6,290,4.9,1,2018
24.2,29.0,997.0,False,33.6,305,3.4,1,2018
24.2,28.5,997.1,False,33.4,313,5.4,1,2018
24.1,28.8,997.1,False,33.2,310,4.6,1,2018
24.2,29.0,997.2,False,33.2,301,3.9,1,2018
24.2,28.7,997.2,False,33.0,297,3.6,1,2018
24.2,28.7,997.2,False,33.0,326,2.1,1,2018
24.2,29.1,997.1,False,33.2,291,3.4,1,2018
24.3,28.5,997.0,False,33.2,329,4.1,1,2018
24.2,28.8,997.1,False,33.1,294,4.8,1,2018
24.1,29.3,997.0,False,32.8,297,6.9,1,2018
24.0,29.8,997.1,False,32.4,291,5.0,1,2018
24.0,30.3,997.2,False,32.4,316,5.3,1,2018
23.9,30.7,997.2,False,32.5,314,4.8,1,2018
24.0,31.3,997.2,False,32.7,310,4.6,1,2018
24.1,30.6,997.3,False,32.7,300,4.8,1,2018
24.3,30.4,997.2,True,32.7,311,3.7,1,2018
24.3,30.9,997.2,True,32.6,278,4.2,1,2018
24.3,30.9,997.2,True,32.6,278,4.2,1,2018
24.3,30.9,997.2,True,32.6,278,4.2,1,2018
24.3,30.9,997.2,True,32.6,278,4.2,1,2018
28.0,46.4,1009.2,False,33.5,310,1.5,2,2018
28.1,46.4,1009.3,False,33.5,6,1.6,2,2018
28.0,46.2,1009.2,False,33.3,310,1.6,2,2018
28.1,46.4,1009.2,False,33.3,320,1.5,2,2018
28.0,46.6,1009.2,False,33.3,338,1.5,2,2018
28.0,46.5,1009.3,False,33.1,276,1.2,2,2018
28.0,46.5,1009.3,False,33.1,276,1.2,2,2018
28.0,46.5,1009.3,False,33.1,276,1.2,2,2018
28.1,45.9,1009.3,False,33.2,355,1.6,2,2018
28.1,45.9,1009.2,False,33.2,9,1.0,2,2018
28.1,45.7,1009.3,False,33.3,299,1.0,2,2018
28.2,45.3,1009.3,False,33.3,162,0.9,2,2018
28.2,45.3,1009.3,False,33.3,162,0.9,2,2018
28.3,45.1,1009.3,False,33.3,2,0.6,2,2018
28.3,45.1,1009.3,False,33.3,2,0.6,2,2018
28.3,44.7,1009.2,False,33.3,28,0.8,2,2018
28.2,44.9,1009.3,False,33.0,38,1.1,2,2018
28.2,45.0,1009.4,False,32.9,10,1.3,2,2018
28.2,44.9,1009.3,False,33.1,322,1.3,2,2018
28.2,44.9,1009.3,False,33.1,322,1.3,2,2018
28.2,45.0,1009.3,False,32.8,35,0.9,2,2018
28.2,45.0,1009.3,False,32.8,35,0.9,2,2018
28.1,45.0,1009.3,False,32.8,50,1.3,2,2018
28.1,45.0,1009.3,False,32.8,50,1.3,2,2018
28.1,44.6,1009.4,False,32.8,185,0.7,2,2018
28.1,44.9,1009.4,False,32.7,24,1.0,2,2018
28.2,44.7,1009.4,False,32.7,5,1.6,2,2018
